key,lo,hi,year,ksi
unknown,-1,-1,2004,965.9043744
unknown,-1,-1,2005,906.4408596
unknown,-1,-1,2006,770.1299875
unknown,-1,-1,2007,747.2338859
unknown,-1,-1,2008,659.4344756
unknown,-1,-1,2009,514.8244071
unknown,-1,-1,2010,484.3463815
unknown,-1,-1,2011,425.2921569
unknown,-1,-1,2012,386.6550412
unknown,-1,-1,2013,391.0210958
unknown,-1,-1,2014,346.0320265
unknown,-1,-1,2015,370.5139777
unknown,-1,-1,2016,307.1927913
unknown,-1,-1,2017,202.1944313
unknown,-1,-1,2018,247.0342045
unknown,-1,-1,2019,227.5024212
unknown,-1,-1,2020,177.7693099
unknown,-1,-1,2021,217.5658012
early years,0,5,2004,856.61247436
early years,0,5,2005,811.7844951
early years,0,5,2006,762.91255134
early years,0,5,2007,711.6640863800001
early years,0,5,2008,680.51657383
early years,0,5,2009,634.2702328600001
early years,0,5,2010,626.2894340500001
early years,0,5,2011,646.5300563799999
early years,0,5,2012,605.9349037
early years,0,5,2013,549.3923124099999
early years,0,5,2014,556.22633733
early years,0,5,2015,518.9663535999999
early years,0,5,2016,492.28311862000004
early years,0,5,2017,446.12924422000003
early years,0,5,2018,432.64441027000004
early years,0,5,2019,408.61689455
early years,0,5,2020,322.07610581999995
early years,0,5,2021,375.74155964
core primary,6,9,2004,1236.2379825
core primary,6,9,2005,1113.2764362
core primary,6,9,2006,993.3109565
core primary,6,9,2007,904.2354348000001
core primary,6,9,2008,857.7280943999999
core primary,6,9,2009,830.9349939
core primary,6,9,2010,799.3648537999999
core primary,6,9,2011,798.1998901
core primary,6,9,2012,687.133108
core primary,6,9,2013,655.3190652000001
core primary,6,9,2014,673.6220472
core primary,6,9,2015,639.2373437
core primary,6,9,2016,597.261294
core primary,6,9,2017,558.4923208
core primary,6,9,2018,542.7370054
core primary,6,9,2019,499.1588635
core primary,6,9,2020,339.06617590999997
core primary,6,9,2021,400.67034484000004
transition,10,12,2004,1632.1123123
transition,10,12,2005,1464.6099140000001
transition,10,12,2006,1328.7571282
transition,10,12,2007,1299.9160632
transition,10,12,2008,1176.2754157
transition,10,12,2009,1081.8122425000001
transition,10,12,2010,1087.1170691
transition,10,12,2011,1051.2208201
transition,10,12,2012,960.7624088
transition,10,12,2013,843.4676687
transition,10,12,2014,861.5920486
transition,10,12,2015,814.2379101
transition,10,12,2016,772.2616449
transition,10,12,2017,769.3098866
transition,10,12,2018,780.2713662000001
transition,10,12,2019,791.6798385
transition,10,12,2020,532.5601628000001
transition,10,12,2021,699.1122865
early teens,13,15,2004,2194.5557697
early teens,13,15,2005,1933.0752836
early teens,13,15,2006,1821.588792
early teens,13,15,2007,1650.9902103
early teens,13,15,2008,1422.7966188
early teens,13,15,2009,1359.3934731
early teens,13,15,2010,1170.1642459
early teens,13,15,2011,1101.1103332
early teens,13,15,2012,1042.1595035
early teens,13,15,2013,861.19658
early teens,13,15,2014,957.4591128000001
